work_id,name,total,rank,fetch_time
6,沧蝶泪,26990,1,2024-11-19 14:04
17,见南山,15628,2,2024-11-19 14:04
49,云华九歌,12868,3,2024-11-19 14:04
41,小龙铃,12289,4,2024-11-19 14:04
47,余梦,10953,5,2024-11-19 14:04
45,一相三昧,9546,6,2024-11-19 14:04
1,霸王别姬,8882,7,2024-11-19 14:04
23,难渡我,7975,8,2024-11-19 14:04
24,青丘旧梦,6867,9,2024-11-19 14:04
26,清尘心,6632,10,2024-11-19 14:04
46,遗落宝匣,5833,11,2024-11-19 14:04
21,嶙骨,5599,12,2024-11-19 14:04
4,不渡山海,4761,13,2024-11-19 14:04
15,魂赴九幽,4424,14,2024-11-19 14:04
39,万物皆一,4325,15,2024-11-19 14:04
7,此叶庭庭,4154,16,2024-11-19 14:04
30,神鼬献金,3916,17,2024-11-19 14:04
37,听梨声,3910,18,2024-11-19 14:04
9,渡君心,3601,19,2024-11-19 14:04
3,波光摇月,3155,20,2024-11-19 14:04
48,跃龙门,2801,21,2024-11-19 14:04
19,枯枝繁影,2536,22,2024-11-19 14:04
25,青云来,2523,23,2024-11-19 14:04
2,百雀裘,2368,24,2024-11-19 14:04
50,占春风,2314,25,2024-11-19 14:04
14,浣轻羽,2300,26,2024-11-19 14:04
12,伏虎藏龙,2264,27,2024-11-19 14:04
42,雪覆夜狸,2217,28,2024-11-19 14:04
20,快马长安,2168,29,2024-11-19 14:04
10,返魂香,2100,30,2024-11-19 14:04
18,江湖客,2079,31,2024-11-19 14:04
34,蜀中赋,2048,32,2024-11-19 14:04
22,流洲照影,1985,33,2024-11-19 14:04
33,世上千年,1771,34,2024-11-19 14:04
11,梵音妙相,1685,35,2024-11-19 14:04
28,穷奇,1512,36,2024-11-19 14:04
31,神羽坠星,1462,37,2024-11-19 14:04
27,清莲蛇影,1403,38,2024-11-19 14:04
8,粗麦包,1389,39,2024-11-19 14:04
40,望鹤燕归,1379,40,2024-11-19 14:04
16,火啖青园,1313,41,2024-11-19 14:04
43,燕归梁,1282,42,2024-11-19 14:04
5,不染尘,1275,43,2024-11-19 14:04
44,夜雨寄北,1115,44,2024-11-19 14:04
36,岁焰生花,989,45,2024-11-19 14:04
38,听涛,924,46,2024-11-19 14:04
29,雀别枝,706,47,2024-11-19 14:04
32,石火梦身,679,48,2024-11-19 14:04
35,松见礼,662,49,2024-11-19 14:04
13,鹤灵,614,50,2024-11-19 14:04
6,沧蝶泪,27212,1,2024-11-19 14:24
17,见南山,15807,2,2024-11-19 14:24
49,云华九歌,12986,3,2024-11-19 14:24
41,小龙铃,12443,4,2024-11-19 14:24
47,余梦,11106,5,2024-11-19 14:24
45,一相三昧,9657,6,2024-11-19 14:24
1,霸王别姬,8983,7,2024-11-19 14:24
23,难渡我,8077,8,2024-11-19 14:24
24,青丘旧梦,6939,9,2024-11-19 14:24
26,清尘心,6705,10,2024-11-19 14:24
46,遗落宝匣,5913,11,2024-11-19 14:24
21,嶙骨,5650,12,2024-11-19 14:24
4,不渡山海,4818,13,2024-11-19 14:24
15,魂赴九幽,4469,14,2024-11-19 14:24
39,万物皆一,4377,15,2024-11-19 14:24
7,此叶庭庭,4197,16,2024-11-19 14:24
30,神鼬献金,3963,17,2024-11-19 14:24
37,听梨声,3949,18,2024-11-19 14:24
9,渡君心,3635,19,2024-11-19 14:24
3,波光摇月,3192,20,2024-11-19 14:24
48,跃龙门,2837,21,2024-11-19 14:24
19,枯枝繁影,2564,22,2024-11-19 14:24
25,青云来,2552,23,2024-11-19 14:24
2,百雀裘,2404,24,2024-11-19 14:24
50,占春风,2345,25,2024-11-19 14:24
14,浣轻羽,2336,26,2024-11-19 14:24
12,伏虎藏龙,2281,27,2024-11-19 14:24
42,雪覆夜狸,2246,28,2024-11-19 14:24
20,快马长安,2187,29,2024-11-19 14:24
10,返魂香,2118,30,2024-11-19 14:24
18,江湖客,2100,31,2024-11-19 14:24
34,蜀中赋,2068,32,2024-11-19 14:24
22,流洲照影,2006,33,2024-11-19 14:24
33,世上千年,1788,34,2024-11-19 14:24
11,梵音妙相,1701,35,2024-11-19 14:24
28,穷奇,1530,36,2024-11-19 14:24
31,神羽坠星,1476,37,2024-11-19 14:24
27,清莲蛇影,1424,38,2024-11-19 14:24
8,粗麦包,1409,39,2024-11-19 14:24
40,望鹤燕归,1395,40,2024-11-19 14:24
16,火啖青园,1323,41,2024-11-19 14:24
43,燕归梁,1288,42,2024-11-19 14:24
5,不染尘,1287,43,2024-11-19 14:24
44,夜雨寄北,1130,44,2024-11-19 14:24
36,岁焰生花,994,45,2024-11-19 14:24
38,听涛,936,46,2024-11-19 14:24
29,雀别枝,717,47,2024-11-19 14:24
32,石火梦身,689,48,2024-11-19 14:24
35,松见礼,667,49,2024-11-19 14:24
13,鹤灵,625,50,2024-11-19 14:24
